,Protein1_ID,Protein2_ID,label
129,P08708,P03428,1
130,Q96EL3,P03428,1
131,Q10570,P03428,1
132,Q9C005,P03428,1
133,P68431,P03428,1
134,Q7KZ85,P03428,1
135,Q9Y4W2,P03428,1
136,P62244,P03428,1
137,P61962,P03428,1
138,O00303,P03428,1
139,P62875,P03428,1
140,O43889,P03428,1
141,Q6PI48,P03428,1
142,Q9UPT8,P03428,1
143,P39019,P03428,1
144,P62487,P03428,1
145,Q7Z2W4,P03428,1
146,Q9H4B6,P03428,1
147,Q9BRK5,P03428,1
148,Q5H9R7,P03428,1
149,P30837,P03428,1
150,Q2TB90,P03428,1
151,Q9UK61,P03428,1
152,Q8IXM3,P03428,1
153,Q00577,P03428,1
154,Q9BQ70,P03428,1
155,Q9UKM9,P03428,1
156,Q99417,P03428,1
157,O75340,P03428,1
158,P82673,P03428,1
159,Q92665,P03428,1
160,Q6DN90,P03428,1
161,Q9NYI0,P03428,1
162,O75494,P03428,1
163,Q6R327,P03428,1
164,Q9UBS4,P03428,1
165,P08574,P03428,1
166,Q96RG2,P03428,1
167,Q9Y2Q9,P03428,1
168,P52907,P03428,1
169,Q8N201,P03428,1
170,Q12797,P03428,1
171,P61289,P03428,1
172,Q15051,P03428,1
173,Q9H2U1,P03428,1
174,Q8IX01,P03428,1
175,Q15773,P03428,1
176,Q9BUJ2,P03428,1
177,Q9BQA1,P03428,1
178,Q9Y2X9,P03428,1
179,Q14978,P03428,1
180,P13674,P03428,1
181,Q6DKI1,P03428,1
182,Q9P1Z2,P03428,1
183,Q9BYD1,P03428,1
184,P10909,P03428,1
185,Q8N163,P03428,1
186,Q9UNK9,P03428,1
187,P46781,P03428,1
188,O43303,P03428,1
189,Q5C9Z4,P03428,1
190,Q9H7E9,P03428,1
191,Q9NY61,P03428,1
192,Q13188,P03428,1
193,O75419,P03428,1
194,O95758,P03428,1
195,Q9Y6M1,P03428,1
196,Q9C0C7,P03428,1
197,Q8ND90,P03428,1
198,P82932,P03428,1
199,O95816,P03428,1
200,Q16540,P03428,1
201,P0C7W6,P03428,1
202,Q9NXS2,P03428,1
203,O00459,P03428,1
204,Q9Y312,P03428,1
205,Q13501,P03428,1
206,Q15365,P03428,1
207,Q9Y399,P03428,1
208,Q9BY89,P03428,1
209,P00403,P03428,1
210,O00165,P03428,1
211,Q96D09,P03428,1
212,P51617,P03428,1
213,Q14677,P03428,1
214,P33240,P03428,1
215,O14828,P03428,1
216,Q68CZ6,P03428,1
217,Q96EY1,P03428,1
218,P08579,P03428,1
219,Q8N5I3,P03428,1
220,Q8TED0,P03428,1
221,Q6P4A7,P03428,1
222,P18583,P03496,1
223,Q9UL40,P03496,1
224,Q02539,P03496,1
225,Q13227,P03496,1
226,Q8N5N7,P03496,1
227,Q92966,P03496,1
228,Q9HA38,P03496,1
229,Q9UJV9,P03496,1
230,Q8WWM7,P03496,1
231,Q6NZI2,P03496,1
232,Q6P1M0,P03496,1
233,P62269,P03496,1
234,Q15434,P03496,1
235,P62140,P03496,1
236,P35637,P03496,1
237,Q15046,P03496,1
238,Q5SRE5,P03496,1
239,P60660,P03496,1
240,Q15633,P03496,1
241,P42338,P03496,1
242,P51991,P03496,1
243,Q6PI77,P03496,1
244,Q9HD33,P03496,1
245,Q96EY7,P03496,1
246,P62244,P03496,1
247,Q9H898,P03496,1
248,O75494,P03496,1
249,P40429,P03496,1
250,Q8N1F7,P03496,1
251,Q9H9J2,P03496,1
252,Q9UBW7,P03496,1
253,O14908,P03496,1
254,P68366,P03496,1
255,O00232,P03496,1
256,P05141,P03496,1
257,P61619,P03496,1
258,P46778,P03496,1
259,Q9NXV2,P03496,1
260,Q7L2E3,P03496,1
261,Q9Y2X3,P03496,1
262,Q13263,P03496,1
263,Q13405,P03496,1
264,Q9BPW8,P03496,1
265,P62195,P03496,1
266,Q00839,P03496,1
267,P15880,P03496,1
268,P62937,P03496,1
269,P68371,P03496,1
270,Q1KMD3,P03496,1
271,P08865,P03496,1
272,Q08380,P03496,1
273,P30837,P03496,1
274,P80723,P03496,1
275,O14979,P03496,1
276,Q9UG63,P03496,1
277,Q96PU8,P03496,1
278,P61204,P03496,1
279,P12235,P03496,1
280,Q15942,P03496,1
281,Q53GQ0,P03496,1
282,Q9NNW5,P03496,1
283,P10809,P03496,1
284,P61247,P03496,1
285,Q9Y399,P03496,1
286,Q02978,P03496,1
287,Q00325,P03496,1
288,Q9UPY3,P03496,1
289,O14578,P03496,1
290,P16989,P03496,1
291,Q8IY17,P03496,1
292,P08238,P03496,1
293,P39019,P03496,1
294,Q9Y2R9,P03496,1
295,Q96AT1,P03496,1
296,Q9Y2Q9,P03496,1
297,P62879,P03496,1
298,Q5SXM2,P03496,1
299,P35579,P03496,1
300,P27348,P03496,1
301,Q13151,P03496,1
302,P51398,P03496,1
303,Q9HCE1,P03496,1
304,P50416,P03496,1
305,Q03169,P03496,1
306,O14744,P03496,1
307,P43243,P03496,1
308,Q5TA45,P03496,1
309,O95573,P03496,1
310,Q3ZCQ8,P03496,1
311,Q92615,P03496,1
312,P12036,P03496,1
313,Q9UBS4,P03496,1
314,O75569,P03496,1
315,Q96SI9,P03496,1
316,Q9NYF8,P03496,1
317,P82932,P03496,1
318,O95782,P03496,1
319,Q9NQ92,P03496,1
320,Q12905,P03496,1
321,P08621,P03496,1
322,P46783,P03496,1
323,Q9GZV4,P03496,1
324,Q92665,P03496,1
325,P22492,P03496,1
326,Q2TB90,P03496,1
327,O75608,P03496,1
328,Q9C099,P03496,1
329,P62841,P03496,1
330,P07737,P03496,1
331,P49589,P03496,1
332,Q13045,P03496,1
333,O75953,P03431,1
334,Q9UNE7,P03431,1
335,Q9NVI1,P03431,1
336,P78527,P03431,1
337,P51398,P03431,1
338,Q07020,P03431,1
339,P53007,P03431,1
340,Q13049,P03431,1
341,Q8WUM0,P03431,1
342,P61247,P03431,1
343,Q15008,P03431,1
344,Q5VTE6,P03431,1
345,P82675,P03431,1
346,P82930,P03431,1
347,Q14204,P03431,1
348,Q9UPT8,P03431,1
349,Q6P3X3,P03431,1
350,P56134,P03431,1
351,Q16540,P03431,1
352,Q04721,P03431,1
353,P14923,P03431,1
354,Q9NXS2,P03431,1
355,Q96T37,P03431,1
356,P68104,P03431,1
357,O14979,P03431,1
358,Q14677,P03431,1
359,Q96D09,P03431,1
360,P62277,P03431,1
361,Q8WWF6,P03431,1
362,Q9Y2X9,P03431,1
363,Q8N6Y0,P03431,1
364,Q9UKV8,P03431,1
365,Q13257,P03431,1
366,O00567,P03431,1
367,Q9NQG5,P03431,1
368,Q12789,P03431,1
369,Q9H845,P03431,1
370,Q9UDY4,P03431,1
371,Q9UL40,P03431,1
372,P62841,P03431,1
373,P11387,P03431,1
374,P43307,P03431,1
375,Q14764,P03431,1
376,Q6R327,P03431,1
377,Q7Z6Z7,P03431,1
378,Q7KZ85,P03431,1
379,Q9Y5V3,P03431,1
380,O75340,P03431,1
381,P53396,P03431,1
382,Q9NZ01,P03431,1
383,O14744,P03431,1
384,P17987,P03431,1
385,P19367,P03431,1
386,P46781,P03431,1
387,P61619,P03431,1
388,P33240,P03431,1
389,Q15020,P03431,1
390,Q8TAQ2,P03431,1
391,O43819,P03431,1
392,Q9Y399,P03431,1
393,Q9H078,P03431,1
394,Q9H892,P03431,1
395,P62140,P03431,1
396,P46013,P03431,1
397,O75190,P03431,1
398,P62487,P03431,1
399,Q6P1J9,P03431,1
400,Q12800,P03431,1
401,Q9UPN7,P03431,1
402,P52435,P03431,1
403,Q9Y2G8,P03431,1
404,Q9P2F8,P03431,1
405,Q13547,P03431,1
406,A0AV96,P03431,1
407,P04792,P03431,1
408,Q15773,P03431,1
409,Q9NPE3,P03431,1
410,P43243,P03431,1
411,Q12955,P03431,1
412,O95071,P03431,1
413,P55084,P03431,1
414,O00267,P03431,1
415,Q9BYN8,P03431,1
416,O43852,P03431,1
417,O15514,P03431,1
418,O14503,P03431,1
419,Q9NY12,P03431,1
420,P78318,P03431,1
421,Q12906,P03431,1
422,Q9ULX6,P03431,1
423,P82673,P03431,1
424,P82933,P03431,1
425,Q8N9N5,P03431,1
426,P62244,P03431,1
427,Q15386,P03431,1
428,P36954,P03431,1
429,P78347,P03431,1
430,Q9BQ70,P03431,1
431,P62875,P03431,1
432,Q9BVV7,P03431,1
433,P53618,P03431,1
434,O95573,P03431,1
435,Q00587,P03431,1
436,Q9Y4W2,P03431,1
437,Q9NXW2,P03431,1
438,O75306,P03431,1
439,P53814,P03431,1
440,O75419,P03431,1
441,Q9NWB1,P03431,1
442,O95782,P03431,1
443,O95232,P03431,1
444,Q15008,P03452,1
445,P48444,P03452,1
446,P48047,P03452,1
447,Q9UNM6,P03452,1
448,O14967,P03452,1
449,O15270,P03452,1
450,Q9UBS4,P03452,1
451,P26641,P03452,1
452,P08195,P03452,1
453,Q5VYK3,P03452,1
454,P84077,P03452,1
455,Q96T76,P03452,1
456,Q8IXI1,P03452,1
457,P19224,P03452,1
458,Q92598,P03452,1
459,Q9NYU2,P03452,1
460,P07858,P03452,1
461,Q9UBB4,P03452,1
462,Q14764,P03452,1
463,Q9Y2X3,P03452,1
464,O00232,P03452,1
465,P21796,P03452,1
466,P61026,P03452,1
467,Q9Y265,P03452,1
468,O00165,P03452,1
469,Q8WWC4,P03452,1
470,Q6ZRP7,P03452,1
471,Q9C005,P03452,1
472,Q643R3,P03452,1
473,P49755,P03452,1
474,P50454,P03452,1
475,P09382,P03452,1
476,Q86SJ2,P03452,1
477,P18085,P03452,1
478,Q9UK22,P03452,1
479,O75190,P03452,1
480,Q8N448,P03452,1
481,P25787,P03452,1
482,P51665,P03452,1
483,P54886,P03452,1
484,O14975,P03452,1
485,P05556,P03452,1
486,P62191,P03452,1
487,O95573,P03452,1
488,Q8N163,P03452,1
489,O14735,P03452,1
490,Q9UBF2,P03452,1
491,Q9BPW8,P03452,1
492,Q96JJ7,P03452,1
493,Q8N6M3,P03452,1
494,P20618,P03452,1
495,P55884,P03452,1
496,Q15758,P03452,1
497,Q9Y4R8,P03452,1
498,A0FGR8,P03452,1
499,O15260,P03452,1
500,Q9BSD7,P03452,1
501,Q14152,P03452,1
502,P04843,P03452,1
503,Q9Y305,P03452,1
504,P08729,P03452,1
505,Q8NBQ5,P03452,1
506,Q27J81,P03452,1
507,Q9NVI1,P03452,1
508,P47755,P03452,1
509,Q8NF37,P03452,1
510,O43852,P03452,1
511,P20700,P03452,1
512,Q9H936,P03452,1
513,Q9NXS2,P03452,1
514,P62333,P03452,1
515,Q9NYL9,P03452,1
516,P55084,P03452,1
517,Q8WUY1,P03452,1
518,Q9Y678,P03452,1
519,Q16531,P03452,1
520,P11166,P03452,1
521,Q9Y287,P03452,1
522,P07355,P03452,1
523,P06703,P03452,1
524,Q9H5Q4,P03452,1
525,O60762,P03452,1
526,Q14126,P03452,1
527,P14314,P03452,1
528,Q99470,P03452,1
529,P36957,P03452,1
530,Q8N1F7,P03452,1
531,Q9Y3L5,P03452,1
532,Q8WVX9,P03452,1
533,Q9Y230,P03452,1
534,P60604,P03452,1
535,P84095,P03452,1
536,P21964,P03452,1
537,P14625,P03452,1
538,P51153,P03452,1
539,P01130,P03452,1
540,P51648,P03452,1
541,Q9Y285,P03452,1
542,Q9NZ01,P03452,1
543,P84090,P03452,1
544,P60903,P03452,1
545,P62136,P03452,1
546,P33993,P03452,1
547,Q9HCN8,P03452,1
548,P47756,P03452,1
549,P48643,P03452,1
550,P36542,P03452,1
551,Q9Y2S7,P03452,1
552,Q14204,P03452,1
553,Q6P1M0,P03452,1
554,Q9Y6N5,P03452,1
555,Q8TD31,P03508,1
556,O95232,P03508,1
557,O75369,P03508,1
558,Q9Y3D5,P03508,1
559,Q9HD33,P03508,1
560,Q8NF37,P03508,1
561,Q71DI3,P03508,1
562,P55265,P03508,1
563,Q96EL3,P03508,1
564,O75494,P03508,1
565,O95573,P03508,1
566,Q96RP9,P03508,1
567,P62136,P03508,1
568,Q5SXM2,P03508,1
569,O95782,P03508,1
570,Q96CN9,P03508,1
571,O14744,P03508,1
572,P62277,P03508,1
573,O95219,P03508,1
574,O43852,P03508,1
575,P51398,P03508,1
576,P15822,P03508,1
577,P62140,P03508,1
578,O94973,P03508,1
579,P39019,P03508,1
580,P02511,P03508,1
581,P42704,P03508,1
582,P78527,P03508,1
583,Q9NS73,P03508,1
584,Q92997,P03508,1
585,Q8N448,P03508,1
586,Q5T1M5,P03508,1
587,P98175,P03508,1
588,Q9NX40,P03508,1
589,Q27J81,P03508,1
590,O43303,P03508,1
591,O75410,P03508,1
592,P82914,P03508,1
593,Q92922,P03508,1
594,Q8N6Y0,P03508,1
595,O43707,P03508,1
596,P82912,P03508,1
597,O95816,P03508,1
598,P09382,P03508,1
599,O00743,P03508,1
600,Q9C005,P03508,1
601,Q13561,P03508,1
602,P62244,P03508,1
603,Q9UIA0,P03508,1
604,Q96RT1,P03508,1
605,Q9H3R5,P03508,1
606,Q07157,P03508,1
607,Q9BUJ2,P03508,1
608,P19387,P03508,1
609,Q53GQ0,P03508,1
610,Q15020,P03508,1
611,Q8N9N5,P03508,1
612,Q8IX01,P03508,1
613,Q08945,P03508,1
614,Q9BSD7,P03508,1
615,Q8NHQ1,P03508,1
616,Q96FJ2,P03508,1
617,Q8TAQ2,P03508,1
618,Q9Y244,P03508,1
619,P82675,P03508,1
620,Q8ND90,P03508,1
621,Q12996,P03508,1
622,Q9P015,P03508,1
623,P51659,P03508,1
624,P04818,P03508,1
625,P33240,P03508,1
626,Q14204,P03508,1
627,Q96SI9,P03508,1
628,P49406,P03508,1
629,P43686,P03508,1
630,Q9UBS4,P03508,1
631,Q9P1Z2,P03508,1
632,Q9UJ41,P03508,1
633,P50542,P03508,1
634,Q10570,P03508,1
635,Q96DZ9,P03508,1
636,Q13595,P03508,1
637,Q92665,P03508,1
638,Q9P2I0,P03508,1
639,Q9UBW7,P03508,1
640,P08579,P03508,1
641,Q6NZY4,P03508,1
642,Q96AE4,P03508,1
643,Q9P2Y5,P03508,1
644,P35268,P03508,1
645,Q92879,P03508,1
646,Q8N5I3,P03508,1
647,Q7Z7H8,P03508,1
648,O94927,P03508,1
649,Q9H9J2,P03508,1
650,Q2TB90,P03508,1
651,Q8N4C6,P03508,1
652,Q12800,P03508,1
653,P82664,P03508,1
654,Q16555,P03508,1
655,P51116,P03508,1
656,P82930,P03508,1
657,P26368,P03508,1
658,Q9BYN8,P03508,1
659,Q4J6C6,P03508,1
660,Q8NEU8,P03508,1
661,P08865,P03508,1
662,P50416,P03508,1
663,Q8N163,P03508,1
664,Q9UJC3,P03508,1
665,O75794,P03508,1
666,Q7Z2W9,P03466,1
667,Q9BYD3,P03466,1
668,Q9BVP2,P03466,1
669,Q12904,P03466,1
670,O15016,P03466,1
671,Q99848,P03466,1
672,Q9BYD6,P03466,1
673,Q8TD10,P03466,1
674,Q9NX24,P03466,1
675,Q9BU76,P03466,1
676,Q9Y3B7,P03466,1
677,Q12983,P03466,1
678,O76021,P03466,1
679,P08579,P03466,1
680,Q13405,P03466,1
681,P82933,P03466,1
682,P22087,P03466,1
683,Q8N983,P03466,1
684,P52815,P03466,1
685,Q9HD33,P03466,1
686,Q96GC5,P03466,1
687,Q9BYN8,P03466,1
688,Q96A35,P03466,1
689,Q9NP92,P03466,1
690,Q8TAE8,P03466,1
691,Q9Y676,P03466,1
692,Q9H2W6,P03466,1
693,O75616,P03466,1
694,Q14197,P03466,1
695,P38159,P03466,1
696,Q96I59,P03466,1
697,Q13126,P03466,1
698,P08621,P03466,1
699,Q7Z7F7,P03466,1
700,Q12926,P03466,1
701,P82932,P03466,1
702,P52298,P03466,1
703,Q8N5N7,P03466,1
704,P46087,P03466,1
705,Q5T653,P03466,1
706,Q9NYK5,P03466,1
707,P82664,P03466,1
708,Q9NUD5,P03466,1
709,Q9BYD2,P03466,1
710,P11387,P03466,1
711,Q9H814,P03466,1
712,Q9NW13,P03466,1
713,Q9NVP1,P03466,1
714,Q01081,P03466,1
715,Q9BRJ2,P03466,1
716,Q00577,P03466,1
717,Q9P0M9,P03466,1
718,Q9Y3D9,P03466,1
719,Q8NHQ1,P03466,1
720,P82914,P03466,1
721,P55769,P03466,1
722,P37108,P03466,1
723,Q96CT7,P03466,1
724,Q09161,P03466,1
725,P82912,P03466,1
726,Q96MC5,P03466,1
727,P82675,P03466,1
728,Q9NZB2,P03466,1
729,Q9Y5V3,P03466,1
730,P51398,P03466,1
731,O75127,P03466,1
732,Q8WV44,P03466,1
733,Q9NPE3,P03466,1
734,Q9BYG3,P03466,1
735,P82930,P03466,1
736,Q13838,P03466,1
737,Q8WXA9,P03466,1
738,Q9UKM9,P03466,1
739,O95900,P03466,1
740,Q9HD26,P03466,1
741,Q96L21,P03466,1
742,Q13084,P03466,1
743,Q6P1L8,P03466,1
744,Q96IK5,P03466,1
745,Q8IXM3,P03466,1
746,Q6PKG0,P03466,1
747,P82650,P03466,1
748,P49406,P03466,1
749,O95232,P03466,1
750,Q15020,P03466,1
751,Q9NWU5,P03466,1
752,Q9Y2R9,P03466,1
753,P82921,P03466,1
754,Q9Y2Q9,P03466,1
755,Q92665,P03466,1
756,Q71UM5,P03466,1
757,Q9Y383,P03466,1
758,Q9NRX2,P03466,1
759,P84103,P03466,1
760,Q9Y2X3,P03466,1
761,Q13077,P03466,1
762,Q13595,P03466,1
763,Q1KMD3,P03466,1
764,P27635,P03466,1
765,O00505,P03466,1
766,P82663,P03466,1
767,O60832,P03466,1
768,P52294,P03466,1
769,P82673,P03466,1
770,Q96E29,P03466,1
771,Q9H9J2,P03466,1
772,Q9BZE1,P03466,1
773,Q9Y3D3,P03466,1
774,P11388,P03466,1
775,Q9Y399,P03466,1
776,P47897,P03466,1
777,Q7Z392,P06821,1
778,P22695,P06821,1
779,Q9UJZ1,P06821,1
780,Q9NZL4,P06821,1
781,Q96JJ7,P06821,1
782,Q8IUR0,P06821,1
783,Q8NBS9,P06821,1
784,O75643,P06821,1
785,Q9UBF2,P06821,1
786,Q96AD5,P06821,1
787,Q9Y296,P06821,1
788,Q9H3N1,P06821,1
789,Q8NI60,P06821,1
790,Q8IYU8,P06821,1
791,P35998,P06821,1
792,P62826,P06821,1
793,P61026,P06821,1
794,Q6P2E9,P06821,1
795,P62195,P06821,1
796,P62191,P06821,1
797,O00483,P06821,1
798,Q9Y5M8,P06821,1
799,O00232,P06821,1
800,Q9NXV2,P06821,1
801,P63241,P06821,1
802,O43795,P06821,1
803,P05023,P06821,1
804,Q16555,P06821,1
805,P20339,P06821,1
806,Q9BPW8,P06821,1
807,P30837,P06821,1
808,Q5SRE5,P06821,1
809,Q8WXE1,P06821,1
810,P57740,P06821,1
811,P00352,P06821,1
812,P12004,P06821,1
813,Q9Y678,P06821,1
814,Q14008,P06821,1
815,Q9UBB4,P06821,1
816,Q9UNM6,P06821,1
817,Q8IXH7,P06821,1
818,P63244,P06821,1
819,Q86U38,P06821,1
820,O00264,P06821,1
821,Q8IY17,P06821,1
822,O75844,P06821,1
823,Q8N163,P06821,1
824,Q15370,P06821,1
825,O00116,P06821,1
826,P51617,P06821,1
827,P52907,P06821,1
828,Q8IWB1,P06821,1
829,Q9HBH0,P06821,1
830,Q9P2J5,P06821,1
831,Q9UKM7,P06821,1
832,Q6P3X3,P06821,1
833,Q9Y605,P06821,1
834,Q9UPN7,P06821,1
835,Q70CQ2,P06821,1
836,Q14244,P06821,1
837,Q5HYK3,P06821,1
838,Q6NUQ1,P06821,1
839,P55084,P06821,1
840,Q9BT22,P06821,1
841,Q9Y6X0,P06821,1
842,O14735,P06821,1
843,Q9P035,P06821,1
844,Q96Q05,P06821,1
845,Q9P2E9,P06821,1
846,Q86VS8,P06821,1
847,O15173,P06821,1
848,Q7Z4Q2,P06821,1
849,P43307,P06821,1
850,Q96CS3,P06821,1
851,P35221,P06821,1
852,O95470,P06821,1
853,Q9NX40,P06821,1
854,Q9BZQ6,P06821,1
855,P05091,P06821,1
856,Q9BQ70,P06821,1
857,Q9BZH6,P06821,1
858,Q15008,P06821,1
859,Q9P2N5,P06821,1
860,P40855,P06821,1
861,Q13049,P06821,1
862,Q8WTW3,P06821,1
863,Q9Y3D0,P06821,1
864,Q9NVI1,P06821,1
865,Q6P1M0,P06821,1
866,O60313,P06821,1
867,P30048,P06821,1
868,Q9UJX2,P06821,1
869,P51571,P06821,1
870,P56537,P06821,1
871,Q6ZRP7,P06821,1
872,Q9Y3F4,P06821,1
873,Q9H4I3,P06821,1
874,Q8NF37,P06821,1
875,P17812,P06821,1
876,Q05193,P06821,1
877,Q06210,P06821,1
878,O14828,P06821,1
879,O15091,P06821,1
880,P31949,P06821,1
881,Q9Y4R8,P06821,1
882,Q9UBB6,P06821,1
883,P07355,P06821,1
884,Q9NXS2,P06821,1
885,Q9C005,P06821,1
886,Q9UJX3,P06821,1
887,P62081,P06821,1
888,Q3ZCQ8,P06821,1
889,Q9Y2R9,P03433,1
890,P16989,P03433,1
891,Q96R06,P03433,1
892,Q12996,P03433,1
893,A0AV96,P03433,1
894,Q7Z3B4,P03433,1
895,P62136,P03433,1
896,P09012,P03433,1
897,P98175,P03433,1
898,Q9UKV8,P03433,1
899,P46781,P03433,1
900,Q13315,P03433,1
901,Q9UJV9,P03433,1
902,Q9C005,P03433,1
903,Q96PK6,P03433,1
904,Q13547,P03433,1
905,O43324,P03433,1
906,Q13595,P03433,1
907,Q14764,P03433,1
908,P63167,P03433,1
909,Q53H12,P03433,1
910,P82912,P03433,1
911,Q8NEJ9,P03433,1
912,P30048,P03433,1
913,Q14244,P03433,1
914,P68431,P03433,1
915,Q8WUK0,P03433,1
916,P82932,P03433,1
917,Q9H7E9,P03433,1
918,Q9Y448,P03433,1
919,Q53GQ0,P03433,1
920,Q9BYN8,P03433,1
921,Q9H3Q1,P03433,1
922,Q96D05,P03433,1
923,O15514,P03433,1
924,P82933,P03433,1
925,Q8N661,P03433,1
926,O00505,P03433,1
927,Q96HS1,P03433,1
928,Q7KZ85,P03433,1
929,P62140,P03433,1
930,O14639,P03433,1
931,Q9BQA1,P03433,1
932,P38159,P03433,1
933,Q6IBW4,P03433,1
934,Q9UKD2,P03433,1
935,Q9Y2X3,P03433,1
936,Q9ULX6,P03433,1
937,P78527,P03433,1
938,P62316,P03433,1
939,P11387,P03433,1
940,P50222,P03433,1
941,P33993,P03433,1
942,P60903,P03433,1
943,O00567,P03433,1
944,P35268,P03433,1
945,O96013,P03433,1
946,O43823,P03433,1
947,P38919,P03433,1
948,Q8N4X5,P03433,1
949,Q15020,P03433,1
950,Q6IB77,P03433,1
951,P48047,P03433,1
952,Q96SI9,P03433,1
953,P82930,P03433,1
954,P50570,P03433,1
955,P62244,P03433,1
956,O95758,P03433,1
957,P08621,P03433,1
958,P52294,P03433,1
959,O60716,P03433,1
960,O75494,P03433,1
961,Q96KR1,P03433,1
962,Q14204,P03433,1
963,O76021,P03433,1
964,Q8N163,P03433,1
965,Q07157,P03433,1
966,Q01085,P03433,1
967,Q96EY7,P03433,1
968,P78559,P03433,1
969,P39019,P03433,1
970,P55084,P03433,1
971,P07355,P03433,1
972,Q9NQ92,P03433,1
973,P42704,P03433,1
974,O95816,P03433,1
975,Q9H2U1,P03433,1
976,Q96EC8,P03433,1
977,Q14152,P03433,1
978,Q9UN86,P03433,1
979,P62875,P03433,1
980,O75489,P03433,1
981,O00267,P03433,1
982,Q9BSD7,P03433,1
983,P33992,P03433,1
984,O14744,P03433,1
985,P46940,P03433,1
986,Q9Y4F1,P03433,1
987,Q9P2R3,P03433,1
988,O60832,P03433,1
989,Q9Y305,P03433,1
990,Q2TB90,P03433,1
991,Q09161,P03433,1
992,Q1KMD3,P03433,1
993,Q9Y446,P03433,1
994,P08195,P03433,1
995,Q92665,P03433,1
996,Q9NVP1,P03433,1
997,Q14974,P03433,1
998,Q99942,P03433,1
999,Q99417,P03433,1
1000,Q96B26,P03485,1
1001,O14828,P03485,1
1002,O43815,P03485,1
1003,O00264,P03485,1
1004,P38159,P03485,1
1005,P61964,P03485,1
1006,Q92542,P03485,1
1007,P51114,P03485,1
1008,Q96KN7,P03485,1
1009,Q9H3G5,P03485,1
1010,Q9H190,P03485,1
